Date,Open,High,Low,Close,Adj Close,Volume
2020-09-09,132.500000,139.470001,132.248001,138.169998,138.169998,4381400
2020-09-10,139.399994,149.570007,138.589996,143.039993,143.039993,8189300
2020-09-11,144.000000,144.070007,132.449997,134.880005,134.880005,3989200
2020-09-14,136.149994,145.369995,136.050003,143.179993,143.179993,4812000
2020-09-15,144.119995,150.000000,141.412994,146.479996,146.479996,4324400
2020-09-16,147.479996,158.600006,146.160004,156.570007,156.570007,8248500
2020-09-17,150.500000,157.580002,149.259995,157.220001,157.220001,4796000
2020-09-18,150.000000,153.440002,146.020004,149.039993,149.039993,8810000
2020-09-21,144.255005,149.070007,140.309998,148.800003,148.800003,3839300
2020-09-22,150.529999,162.500000,150.380005,153.820007,153.820007,8806300
2020-09-23,154.440002,157.500000,149.410004,150.570007,150.570007,2890900
2020-09-24,148.509995,150.973007,144.699997,147.899994,147.899994,2461100
2020-09-25,149.470001,155.910004,148.000000,155.020004,155.020004,2569200
2020-09-28,158.199997,160.000000,150.410004,151.300003,151.300003,2675900
2020-09-29,160.000000,170.449997,159.149994,165.660004,165.660004,20636600
2020-09-30,164.832993,172.449997,163.839996,166.059998,166.059998,6050700
2020-10-01,169.240005,172.690002,165.880005,170.600006,170.600006,4729200
2020-10-02,165.589996,171.750000,164.809998,166.240005,166.240005,2949000
2020-10-05,168.649994,175.889999,166.759003,175.490005,175.490005,4163200
2020-10-06,176.229996,186.699997,175.000000,181.860001,181.860001,8478800
2020-10-07,184.649994,191.600006,184.199997,189.139999,189.139999,5167900
2020-10-08,193.000000,197.500000,188.639999,193.380005,193.380005,5878900
2020-10-09,194.660004,195.910004,190.449997,194.945007,194.945007,3107500
2020-10-12,196.529999,197.250000,190.759995,192.300003,192.300003,2506000
2020-10-13,184.389999,189.059998,180.960007,187.619995,187.619995,5048400
2020-10-14,186.639999,191.429993,186.000000,188.729996,188.729996,2550900
2020-10-15,184.679993,189.000000,183.399994,184.850006,184.850006,2272200
2020-10-16,187.169998,188.309998,182.350006,183.580002,183.580002,1959800
2020-10-19,184.110001,188.589996,181.100006,184.139999,184.139999,2255000
2020-10-20,185.059006,185.059006,175.949997,176.289993,176.289993,2362500
2020-10-21,177.589996,181.070007,176.007996,177.910004,177.910004,1845600
2020-10-22,178.419998,178.839996,167.899994,172.169998,172.169998,3283700
2020-10-23,173.000000,174.123993,168.100006,171.729996,171.729996,1711200
2020-10-26,171.419998,175.339996,161.839996,164.539993,164.539993,2731500
2020-10-27,165.000000,167.009995,160.850006,161.949997,161.949997,1894600
2020-10-28,159.500000,160.520004,154.744995,156.050003,156.050003,2426600
2020-10-29,157.440002,157.449997,151.350006,151.850006,151.850006,1985000
2020-10-30,150.500000,152.300003,141.070007,142.429993,142.429993,3164100
2020-11-02,145.350006,148.000000,141.475006,143.559998,143.559998,2155400
2020-11-03,146.259995,150.759995,145.710007,146.350006,146.350006,2145100
2020-11-04,150.100006,153.110001,148.210007,149.289993,149.289993,1673400
2020-11-05,153.500000,157.350006,152.317001,157.039993,157.039993,2653300
2020-11-06,156.779999,158.940002,154.309998,156.860001,156.860001,2302200
2020-11-09,164.369995,170.800003,141.251999,150.500000,150.500000,21307500
2020-11-10,118.919998,131.919998,113.260002,125.010002,125.010002,29678100
2020-11-11,127.089996,129.899994,125.099998,127.889999,127.889999,7151600
2020-11-12,129.470001,132.417007,126.879997,128.899994,128.899994,6376800
2020-11-13,130.289993,130.419006,123.250000,124.739998,124.739998,5332200
2020-11-16,126.300003,127.949997,121.529999,127.150002,127.150002,5256700
2020-11-17,126.616997,129.970001,126.156998,129.899994,129.899994,2845600
2020-11-18,132.000000,137.009995,132.000000,134.009995,134.009995,7279900
2020-11-19,134.649994,139.649994,134.080002,137.419998,137.419998,3402300
2020-11-20,138.199997,138.250000,133.600006,136.559998,136.559998,2652900
2020-11-23,136.750000,144.149994,136.250000,140.960007,140.960007,3616600
2020-11-24,143.740005,145.889999,140.000000,141.830002,141.830002,2819700
2020-11-25,140.669998,142.600006,137.710007,139.580002,139.580002,2143600
2020-11-27,141.000000,144.800003,140.500000,142.199997,142.199997,1565700
2020-11-30,142.389999,143.449997,135.589996,139.899994,139.899994,2560500
2020-12-01,140.770004,140.910004,134.630005,137.250000,137.250000,2588200
2020-12-02,135.649994,140.000000,134.660004,138.529999,138.529999,2095800
2020-12-03,140.559998,144.699997,139.009995,139.350006,139.350006,3062100
2020-12-04,140.679993,140.852997,137.899994,139.619995,139.619995,1983300
2020-12-07,139.000000,139.779999,135.660004,136.940002,136.940002,2834900
2020-12-08,136.610001,141.669998,136.339996,140.720001,140.720001,3021200
